ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-04-09,8.082598684348765,-0.7206186763842006,16.779086377524926,8.082598684348765,8.082598684348765,-0.08566435079761395,-0.08566435079761395,-0.08566435079761395,-0.2303207640966652,-0.2303207640966652,-0.2303207640966652,0.1446564132990512,0.1446564132990512,0.1446564132990512,0.0,0.0,0.0,7.996934333551152
2010-04-12,8.123338039936185,-0.9125365835159478,17.159968357797975,8.123338039936185,8.123338039936185,0.1556726062179903,0.1556726062179903,0.1556726062179903,-0.06976821796377955,-0.06976821796377955,-0.06976821796377955,0.22544082418176986,0.22544082418176986,0.22544082418176986,0.0,0.0,0.0,8.279010646154175
2010-04-13,8.136917825131993,-0.5214926910442583,16.905862986761317,8.136917825131993,8.136917825131993,0.08561086709329835,0.08561086709329835,0.08561086709329835,-0.16578344534336817,-0.16578344534336817,-0.16578344534336817,0.25139431243666654,0.25139431243666654,0.25139431243666654,0.0,0.0,0.0,8.222528692225291
2010-04-14,8.1504976103278,-1.2330125518854433,17.19091655508141,8.1504976103278,8.1504976103278,0.15100419060608844,0.15100419060608844,0.15100419060608844,-0.12538603914618535,-0.12538603914618535,-0.12538603914618535,0.2763902297522738,0.2763902297522738,0.2763902297522738,0.0,0.0,0.0,8.301501800933888
2010-04-15,8.164077395523607,-0.864356784054251,17.414517058576514,8.164077395523607,8.164077395523607,0.13666020436861784,0.13666020436861784,0.13666020436861784,-0.16328355908736725,-0.16328355908736725,-0.16328355908736725,0.29994376345598506,0.29994376345598506,0.29994376345598506,0.0,0.0,0.0,8.300737599892225
2010-04-16,8.177657180719416,-0.2665849088869292,17.07165659634665,8.177657180719416,8.177657180719416,0.09113800908195617,0.09113800908195617,0.09113800908195617,-0.23032076409636604,-0.23032076409636604,-0.23032076409636604,0.3214587731783222,0.3214587731783222,0.3214587731783222,0.0,0.0,0.0,8.268795189801372
2010-04-19,8.218396536306837,-0.4862582427707957,16.55879170922478,8.218396536306837,8.218396536306837,0.2968830614261897,0.2968830614261897,0.2968830614261897,-0.06976821796335111,-0.06976821796335111,-0.06976821796335111,0.36665127938954084,0.36665127938954084,0.36665127938954084,0.0,0.0,0.0,8.515279597733027
2010-04-20,8.231976321502644,-0.18090100830309785,16.975253343418842,8.231976321502644,8.231976321502644,0.20691922446650535,0.20691922446650535,0.20691922446650535,-0.1657834453435895,-0.1657834453435895,-0.1657834453435895,0.37270266981009487,0.37270266981009487,0.37270266981009487,0.0,0.0,0.0,8.43889554596915
2010-04-21,8.245556106698452,-0.10262808788554992,17.174273111540938,8.245556106698452,8.245556106698452,0.2475942071918385,0.2475942071918385,0.2475942071918385,-0.12538603914598404,-0.12538603914598404,-0.12538603914598404,0.37298024633782256,0.37298024633782256,0.37298024633782256,0.0,0.0,0.0,8.49315031389029
2010-04-22,8.259135891894259,-1.4502532080625992,16.575990029831164,8.259135891894259,8.259135891894259,0.20351392939953802,0.20351392939953802,0.20351392939953802,-0.1632835590874182,-0.1632835590874182,-0.1632835590874182,0.3667974884869562,0.3667974884869562,0.3667974884869562,0.0,0.0,0.0,8.462649821293796
2010-04-23,8.272715677090066,-0.08334397630512067,17.90621404568734,8.272715677090066,8.272715677090066,0.12323854758650553,0.12323854758650553,0.12323854758650553,-0.2303207640962018,-0.2303207640962018,-0.2303207640962018,0.3535593116827073,0.3535593116827073,0.3535593116827073,0.0,0.0,0.0,8.39595422467657
2010-04-26,8.313455032677489,-0.46771984003462885,18.015533249521912,8.313455032677489,8.313455032677489,0.19770915623699784,0.19770915623699784,0.19770915623699784,-0.06976821796376094,-0.06976821796376094,-0.06976821796376094,0.2674773742007588,0.2674773742007588,0.2674773742007588,0.0,0.0,0.0,8.511164188914487
2010-04-27,8.327034817873296,-0.1894990003266417,17.568249939453455,8.327034817873296,8.327034817873296,0.05698292033881576,0.05698292033881576,0.05698292033881576,-0.16578344534340783,-0.16578344534340783,-0.16578344534340783,0.22276636568222358,0.22276636568222358,0.22276636568222358,0.0,0.0,0.0,8.384017738212112
2010-04-28,8.340614603069103,-0.5193266434925858,17.004640734510133,8.340614603069103,8.340614603069103,0.04482219718464956,0.04482219718464956,0.04482219718464956,-0.1253860391463037,-0.1253860391463037,-0.1253860391463037,0.17020823633095325,0.17020823633095325,0.17020823633095325,0.0,0.0,0.0,8.385436800253752
2010-04-29,8.35419438826491,-0.41978846462487507,17.276238586595046,8.35419438826491,8.35419438826491,-0.05310372659903468,-0.05310372659903468,-0.05310372659903468,-0.16328355908723044,-0.16328355908723044,-0.16328355908723044,0.11017983248819578,0.11017983248819578,0.11017983248819578,0.0,0.0,0.0,8.301090661665874
2010-04-30,8.367774173460717,-0.9919038612578874,17.352376229278434,8.367774173460717,8.367774173460717,-0.1870771086895785,-0.1870771086895785,-0.1870771086895785,-0.23032076409650695,-0.23032076409650695,-0.23032076409650695,0.04324365540692844,0.04324365540692844,0.04324365540692844,0.0,0.0,0.0,8.180697064771138
2010-05-03,8.408513529048138,-0.7203634938163315,16.60036608286887,8.408513529048138,8.408513529048138,-0.2605902207658383,-0.2605902207658383,-0.2605902207658383,-0.06976821796417076,-0.06976821796417076,-0.06976821796417076,-0.19082200280166758,-0.19082200280166758,-0.19082200280166758,0.0,0.0,0.0,8.1479233082823
2010-05-04,8.422093314243947,-0.6493867592665256,16.512221380676113,8.422093314243947,8.422093314243947,-0.4422526571231796,-0.4422526571231796,-0.4422526571231796,-0.16578344534362915,-0.16578344534362915,-0.16578344534362915,-0.27646921177955047,-0.27646921177955047,-0.27646921177955047,0.0,0.0,0.0,7.979840657120767
2010-05-05,8.435673099439754,-0.8486868596864354,16.573352294350048,8.435673099439754,8.435673099439754,-0.48930408529882485,-0.48930408529882485,-0.48930408529882485,-0.125386039146097,-0.125386039146097,-0.125386039146097,-0.3639180461527278,-0.3639180461527278,-0.3639180461527278,0.0,0.0,0.0,7.946369014140929
2010-05-06,8.44925288463556,-1.1036386812967782,16.137291018091574,8.44925288463556,8.44925288463556,-0.6151384076191585,-0.6151384076191585,-0.6151384076191585,-0.1632835590873527,-0.1632835590873527,-0.1632835590873527,-0.45185484853180585,-0.45185484853180585,-0.45185484853180585,0.0,0.0,0.0,7.834114477016402
2010-05-07,8.46283266983137,-0.3038404163273367,16.928003970579475,8.46283266983137,8.46283266983137,-0.7692614734477493,-0.7692614734477493,-0.7692614734477493,-0.23032076409634275,-0.23032076409634275,-0.23032076409634275,-0.5389407093514066,-0.5389407093514066,-0.5389407093514066,0.0,0.0,0.0,7.69357119638362
